Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 21  | mTeSR1 + 0.25x B27 | 50 RPM | Transwell, 24-well | ESGRO (50 μg/mL), Laminin (10 μg/mL) | 37°C | 7.4 | 5% |

Generating protocol 8 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds                     | Temp    | pH | Dissolved Oxygen% (DO%) |
|----|---------|-------------------------------|------------------------|------------------------------|----------|----|---------------------------|
| 0  | mTeSR1   | 0 RPM                           | 6-well plate, 9.5 cm²/well | N/A                            | 37°C     | 7.4 | 20%                         |
| 1  | mTeSR1   | 0 RPM                           | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10ng/mL) | 37°C     | 7.4 | 20%                         |
| 2  | mTeSR1   | 50 RPM                          | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL)                | 37°C     | 7.3 | 18%                         |
| 3  | mTeSR1   | 0 RPM                           | 6-well plate, 9.5 cm²/well | VEGF (20ng/mL), Heparin (10 U/mL) | 37°C     | 7.2 | 15%                         |
| 4  | L-WRN    | 50 RPM                          | 12-well plate, 3.8 cm²/well | N/A                            | 37°C     | 7.1 | 12%                         |
| 5  | L-WRN    | 0 RPM                           | 12-well plate, 3.8 cm²/well | TGF-β (1 ng/mL), Insulin-Like Growth Factor-1(10ng/mL)   | 37°C     | 7.0 | 10%                         |
| 6  | L-WRN    | 50 RPM                          | 12-well plate, 3.8 cm²/well | EGF (20 ng/mL), mTGF-β (1 ng/mL)   | 37°C     | 6.9 | 8%                           |
| 7  | L-WRN    | 0 RPM                           | 12-well plate, 3.8 cm²/well | HGF (10 ng/mL), Dexamethasone(100 nM) | 37°C     | 6.8 | 5%                           |
| 8  | Hepatocyte culture medium | 50 RPM                        | 24-well plate, 1.9 cm²/well | N/A                            | 37°C     | 7.4 | 20%                         |
| 9  | Hepatocyte culture medium | 0 RPM                         | 24-well plate, 1.9 cm²/well | Ascorbic Acid (100 μM), Glucose (5 mM)       | 37°C     | 7.3 | 15%                         |
| 10 | Hepatocyte culture medium | 50 RPM                        | 48-well plate, 0.8 cm²/well | HGF (20 ng/mL), TGF-β (1 ng/mL)   | 37°C     | 7.2 | 12%                         |
| 11 | Hepatocyte culture medium | 0 RPM                         | 48-well plate, 0.8 cm²/well | FGF4 (10 ng/mL), IGF-1 (100 nM)   | 37°C     | 6.9 | 10%                         |
| 12 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | BMP2 (100 ng/mL), VEGF (20 ng/mL)| 37°C     | 7.1 | 8%                           |
| 13 | Hepatocyte culture medium | 0 RPM                         | 96-well plate, 0.3 cm²/well | Insulin-Like Growth Factor-2(10 ng/mL), mTGF-β (1 ng/mL)   | 37°C     | 6.8 | 5%                           |
| 14 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | Heparin (10 U/mL), EGF (20 ng/mL)| 37°C     | 7.2 | 12%                         |
| 15 | Hepatocyte culture medium | 0 RPM                         | 96-well plate, 0.3 cm²/well | FGF5 (100 ng/mL), Glucose (5 mM)       | 37°C     | 6.9 | 10%                         |
| 16 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | TGF-β (1 ng/mL), VEGF (20 ng/mL)| 37°C     | 7.4 | 15%                         |
| 17 | Hepatocyte culture medium | 0 RPM                         | 96-well plate, 0.3 cm²/well | HGF (10 ng/mL), mTGF-β (1 ng/mL)   | 37°C     | 6.8 | 5%                           |
| 18 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | Insulin-Like Growth Factor-2(10 ng/mL), Dexamethasone(100 nM) | 37°C     | 7.1 | 12%                         |
| 19 | Hepatocyte culture medium | 0 RPM                         | 96-well plate, 0.3 cm²/well | EGF (20 ng/mL), Glucose (5 mM)       | 37°C     | 6.9 | 8%                           |
| 20 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | Heparin (10 U/mL), mTGF-β (1 ng/mL)   | 37°C     | 7.4 | 15%                         |
| 21 | Hepatocyte culture medium | 0 RPM                         | 96-well plate, 0.3 cm²/well | FGF5 (100 ng/mL), TGF-β (1 ng/mL)   | 37°C     | 6.8 | 10%                         |
| 22 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | Insulin-Like Growth Factor-2(10 ng/mL), VEGF (20 ng/mL)| 37°C     | 7.1 | 12%                         |
| 23 | Hepatocyte culture medium | 0 RPM                         | 96-well plate, 0.3 cm²/well | HGF (10 ng/mL), mTGF-β (1 ng/mL)   | 37°C     | 6.9 | 8%                           |
| 24 | Hepatocyte culture medium | 50 RPM                        | 96-well plate, 0.3 cm²/well | EGF (20 ng/mL), Dexamethasone(100 nM)| 37°C     | 7.4 | 15%                         |

Note: The use of different culture media and growth factors at various stages is intended to mimic the natural development of liver cells in vivo.
Generating protocol 9 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (200 ng/mL), Noggin (500 ng/mL) | 37°C | 7.4 | 30% |
| 3   | mTeSR1 | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 20% |
| 4   | hESC-qualified Matrigel | 50 RPM | 24-well plate, 2 cm²/well | EGF (10 ng/mL), bFGF (10 ng/mL) | 37°C | 6.9 | 40% |
| 5   | hESC-qualified Matrigel | 0 RPM | 24-well plate, 2 cm²/well | Heparin (100 μg/mL), Chiron (50 μM) | 37°C | 7.4 | 20% |
| 6   | Defined liver medium | 0 RPM | 12-well plate, 3.8 cm²/well | WNT3A (200 ng/mL), Activin A (100 ng/mL) | 37°C | 7.4 | 30% |
| 7   | Defined liver medium | 50 RPM | 12-well plate, 3.8 cm²/well | VEGF (20 ng/mL), IGF1 (50 ng/mL) | 37°C | 7.4 | 40% |
| 8   | Defined liver medium | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 9   | Defined liver medium | 50 RPM | 6-well plate, 9.5 cm²/well | TGFβ1 (1 ng/mL), Activin A (100 ng/mL) | 37°C | 7.4 | 30% |
| 10  | Defined liver medium | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 20% |
| 11  | Matrigel-based liver matrix | 50 RPM | 24-well plate, 2 cm²/well | Chondroitin sulfate A (100 μg/mL), Heparan sulfate (200 μg/mL) | 37°C | 6.9 | 40% |
| 12  | Matrigel-based liver matrix | 0 RPM | 24-well plate, 2 cm²/well | TGFβ1 (1 ng/mL), VEGF (20 ng/mL) | 37°C | 7.4 | 30% |
| 13  | Defined liver medium | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), IGF1 (50 ng/mL) | 37°C | 7.4 | 40% |
| 14  | Defined liver medium | 0 RPM | 12-well plate, 3.8 cm²/well | Activin A (100 ng/mL), WNT3A (200 ng/mL) | 37°C | 7.4 | 30% |
| 15  | Defined liver medium | 50 RPM | 12-well plate, 3.8 cm²/well | EGF (10 ng/mL), bFGF (10 ng/mL) | 37°C | 6.9 | 40% |
| 16  | Matrigel-based liver matrix | 0 RPM | 24-well plate, 2 cm²/well | Chondroitin sulfate A (100 μg/mL), Heparan sulfate (200 μg/mL) | 37°C | 6.9 | 20% |
| 17  | Matrigel-based liver matrix | 50 RPM | 24-well plate, 2 cm²/well | TGFβ1 (1 ng/mL), VEGF (20 ng/mL) | 37°C | 7.4 | 40% |
| 18  | Defined liver medium | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), IGF1 (50 ng/mL) | 37°C | 7.4 | 30% |
| 19  | Defined liver medium | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), WNT3A (200 ng/mL) | 37°C | 7.4 | 40% |
| 20  | Matrigel-based liver matrix | 0 RPM | 24-well plate, 2 cm²/well | Chondroitin sulfate A (100 μg/mL), Heparan sulfate (200 μg/mL) | 37°C | 6.9 | 20% |
| 21  | Matrigel-based liver matrix | 50 RPM | 24-well plate, 2 cm²/well | TGFβ1 (1 ng/mL), VEGF (20 ng/mL) | 37°C | 7.4 | 40% |

Note: The concentrations of growth factors and other supplements may vary depending on the specific reagents used.
Generating protocol 10 for model llama3.1:8b
| Day | Media | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1+Y-27632 | 75 RPM | 24-well plate, 3.8 cm²/well | - | 37°C | 7.4 | 20% |
| 3   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | bFGF (50 ng/mL), Insulin-like Growth Factor-1 (IGF-1) (100 ng/mL) | 37°C | 7.4 | 20% |
| 4   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Heparin (10 μM), Glucose (1 g/L) | 37°C | 7.4 | 20% |
| 5   | E8 medium+Hemin | 50 RPM | 12-well plate, 2 cm²/well | Tauroursodeoxycholic acid (TUDCA) (100 μM), Glucose (1 g/L) | 37°C | 7.4 | 20% |
| 6   | E8 medium+Hemin | 50 RPM | 12-well plate, 2 cm²/well | BMP-4 (25 ng/mL), Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 7   | E8 medium+Hemin | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), IGF-1 (100 ng/mL) | 37°C | 7.3 | 18% |
| 8   | E8 medium+Hemin | 75 RPM | 24-well plate, 3.8 cm²/well | - | 37°C | 7.2 | 16% |
| 9   | Williams' E Medium+B27 supplement | 50 RPM | 6-well plate, 9.5 cm²/well | Glucose (1 g/L), Insulin (10 μM) | 37°C | 7.4 | 20% |
| 10  | Williams' E Medium+B27 supplement | 75 RPM | 12-well plate, 2 cm²/well | HGF (100 ng/mL), IGF-1 (100 ng/mL) | 37°C | 7.3 | 18% |
| 11  | Williams' E Medium+B27 supplement | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (25 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.2 | 16% |
| 12  | DMEM/F12+Glucose+Pen/Strep | 75 RPM | 24-well plate, 3.8 cm²/well | Glucose (1 g/L), Insulin (10 μM) | 37°C | 7.4 | 20% |
| 13  | DMEM/F12+Glucose+Pen/Strep | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), IGF-1 (100 ng/mL) | 37°C | 7.3 | 18% |
| 14  | DMEM/F12+Glucose+Pen/Strep | 75 RPM | 12-well plate, 2 cm²/well | Activin A (25 ng/mL), BMP-4 (50 ng/mL) | 37°C | 7.2 | 16% |
| 15  | HepatoZYME medium | 0 RPM | 24-well plate, 3.8 cm²/well | Glucose (1 g/L), Insulin (10 μM) | 37°C | 7.4 | 20% |
| 16  | HepatoZYME medium | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), IGF-1 (100 ng/mL) | 37°C | 7.3 | 18% |
| 17  | HepatoZYME medium+BMP-4+Activin A | 75 RPM | 12-well plate, 2 cm²/well | - | 37°C | 7.2 | 16% |
| 18  | LiverMat medium | 50 RPM | 6-well plate, 9.5 cm²/well | Glucose (1 g/L), Insulin (10 μM) | 37°C | 7.4 | 20% |
| 19  | LiverMat medium+BMP-4+Activin A | 75 RPM | 12-well plate, 2 cm²/well | HGF (100 ng/mL), IGF-1 (100 ng/mL) | 37°C | 7.3 | 18% |
| 20  | LiverMat medium+BMP-4+Activin A | 50 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.2 | 16% |
| 21  | Matrigel-containing DMEM/F12+Glucose+Pen/Strep | 0 RPM | 24-well plate, 3.8 cm²/well | Glucose (1 g/L), Insulin (10 μM) | 37°C | 7.4 | 20% |

Generating protocol 11 for model llama3.1:8b
| Day | Media | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | B27 Supplement (1:100) | 37°C | 7.4 | 20% |
| 0   | -      |          |                       | L-Ascorbic Acid (50 μg/mL) |       |     |                |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL)        | 37°C | 7.4 | 20% |
| 2   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | FGF2 (50 ng/mL)              | 37°C | 7.3 | 15% |
| 3   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL)              | 37°C | 7.3 | 15% |
| 4   | E8 medium | 50 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (100 ng/mL)            | 37°C | 7.3 | 15% |
| 5   | DMEM/F12 | 0 RPM | T25 flask, 25 cm²/flask | Insulin-Transferrin-Selenium (1:100) | 37°C | 7.4 | 20% |
| 6   | DMEM/F12 | 50 RPM | T75 flask, 75 cm²/flask | Glucose (10 mM), HEPES (15 mM) | 37°C | 7.4 | 5% |
| 7   | Defined | 0 RPM | 6-well plate, 9.5 cm²/well | Albumin (1%), Glucose (11 mM) | 37°C | 7.3 | 20% |
| 8   | Defined | 50 RPM | T25 flask, 25 cm²/flask | FGF4 (10 ng/mL), VEGF-A (5 ng/mL) | 37°C | 7.3 | 15% |
| 9   | M199 medium | 0 RPM | 6-well plate, 9.5 cm²/well | EGF (20 ng/mL), Insulin (10 μg/mL) | 37°C | 7.4 | 20% |
| 10  | M199 medium | 50 RPM | T75 flask, 75 cm²/flask | L-Ascorbic Acid (100 μg/mL) | 37°C | 7.4 | 15% |
| 11  | Hepes-buffered saline | 0 RPM | 6-well plate, 9.5 cm²/well | Sodium butyrate (2 mM) | 37°C | 7.3 | 20% |
| 12  | Hepes-buffered saline | 50 RPM | T25 flask, 25 cm²/flask | BMP7 (10 ng/mL), FGF1 (5 ng/mL) | 37°C | 7.3 | 15% |
| 13  | William's E medium | 0 RPM | 6-well plate, 9.5 cm²/well | Glucose (11 mM), HEPES (25 mM) | 37°C | 7.4 | 20% |
| 14  | William's E medium | 50 RPM | T75 flask, 75 cm²/flask | Activin A (25 ng/mL), TGF-β1 (2 ng/mL) | 37°C | 7.4 | 15% |
| 15  | M199 medium | 0 RPM | 6-well plate, 9.5 cm²/well | Insulin (10 μg/mL), Transferrin (10 μg/mL) | 37°C | 7.3 | 20% |
| 16  | M199 medium | 50 RPM | T25 flask, 25 cm²/flask | Glucose (11 mM), HEPES (15 mM) | 37°C | 7.3 | 15% |
| 17  | DMEM/F12 | 0 RPM | 6-well plate, 9.5 cm²/well | Sodium butyrate (2 mM), EGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 18  | DMEM/F12 | 50 RPM | T75 flask, 75 cm²/flask | FGF1 (5 ng/mL), VEGF-A (2.5 ng/mL) | 37°C | 7.4 | 15% |
| 19  | Hepes-buffered saline | 0 RPM | 6-well plate, 9.5 cm²/well | Glucose (11 mM), HEPES (25 mM) | 37°C | 7.3 | 20% |
| 20  | Hepes-buffered saline | 50 RPM | T25 flask, 25 cm²/flask | BMP4 (10 ng/mL), Activin A (5 ng/mL) | 37°C | 7.3 | 15% |
| 21  | Defined medium | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.3 | 20%
Generating protocol 12 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37 | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37 | 7.4 | 20% |
| 2   | mTeSR1 + TGF-β1 (10 ng/mL) | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37 | 7.3 | 18% |
| 3   | E8 | 50 RPM | 12-well plate, 4.2 cm²/well | Wnt3a (200 ng/mL), B27 without insulin | 37 | 7.5 | 15% |
| 4   | E8 + BMP4 (100 ng/mL) | 50 RPM | 12-well plate, 4.2 cm²/well | - | 37 | 7.3 | 12% |
| 5   | DMEM/F-12 + 10% FBS | 0 RPM | 24-well plate, 1.9 cm²/well | Insulin (6.25 μM), Sodium Selenite (30 nM) | 37 | 7.2 | 10% |
| 6   | DMEM/F-12 + 10% FBS | 0 RPM | 24-well plate, 1.9 cm²/well | HGF (50 ng/mL), EGF (20 ng/mL) | 37 | 7.2 | 8% |
| 7   | DMEM/F-12 + 10% K-SFM | 0 RPM | 48-well plate, 0.6 cm²/well | - | 37 | 7.4 | 5% |
| 8   | DMEM/F-12 + 10% K-SFM | 50 RPM | 48-well plate, 0.6 cm²/well | OSM (100 ng/mL), IL-11 (20 ng/mL) | 37 | 7.3 | 5% |
| 9   | DMEM/F-12 + 10% K-SFM | 50 RPM | 48-well plate, 0.6 cm²/well | - | 37 | 7.2 | 3% |
| 10  | HEPES-buffered DMEM/F-12 + 5% FBS | 50 RPM | 96-well plate, 0.35 cm²/well | Hepatocyte growth factor (HGF) (20 ng/mL), EGF (10 ng/mL) | 37 | 7.4 | 2% |
| 11  | HEPES-buffered DMEM/F-12 + 5% FBS | 50 RPM | 96-well plate, 0.35 cm²/well | - | 37 | 7.3 | 1% |
| 12  | Hepatocyte culture medium | 0 RPM | 24-well plate, 1.9 cm²/well | Insulin (6.25 μM), Sodium Selenite (30 nM) | 37 | 7.2 | 5% |
| 13  | Hepatocyte culture medium + 10% FBS | 0 RPM | 24-well plate, 1.9 cm²/well | HGF (50 ng/mL), EGF (20 ng/mL) | 37 | 7.2 | 8% |
| 14  | Hepatocyte culture medium + 10% FBS | 0 RPM | 48-well plate, 0.6 cm²/well | - | 37 | 7.4 | 5% |
| 15  | Hepatocyte culture medium + 10% K-SFM | 50 RPM | 48-well plate, 0.6 cm²/well | OSM (100 ng/mL), IL-11 (20 ng/mL) | 37 | 7.3 | 5% |
| 16  | Hepatocyte culture medium + 10% K-SFM | 50 RPM | 48-well plate, 0.6 cm²/well | - | 37 | 7.2 | 3% |
| 17  | mTeSR1 + TGF-β1 (10 ng/mL) | 0 RPM | 12-well plate, 4.2 cm²/well | Wnt3a (200 ng/mL), B27 without insulin | 37 | 7.3 | 18% |
| 18  | E8 | 50 RPM | 24-well plate, 1.9 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37 | 7.4 | 15% |
| 19  | mTeSR1 + TGF-β1 (10 ng/mL) | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37 | 7.3 | 20% |
| 20  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37 | 7.4 | 20% |
| 21  | mTeSR1 + B27 without insulin | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37 | 7.2 | 10% |

Note: All media and supplements should be pre-warmed before use.
Generating protocol 13 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 24-well plate, 2 cm²/well | bFGF (10 μM), VEGF (5 ng/mL) | 37°C | 7.4 | 20% |
| 3   | Hepatocyte Growth Factor (HGF) - containing medium | 50 RPM | 24-well plate, 2 cm²/well | | 32°C | 6.9 | 15% |
| 4   | HGF-containing medium | 0 RPM | 12-well plate, 3.5 cm²/well | FGF1 (10 ng/mL), ESGRO (50 μM) | 32°C | 6.9 | 15% |
| 5   | HGF-containing medium | 50 RPM | 24-well plate, 2 cm²/well | Insulin-like growth factor-1 (IGF-1) (100 ng/mL) | 32°C | 6.9 | 15% |
| 6   | Liver Basal Medium with Glucose (LBMG) | 50 RPM | 24-well plate, 2 cm²/well | | 37°C | 7.4 | 20% |
| 7   | LBMG | 0 RPM | 12-well plate, 3.5 cm²/well | Dexamethasone (10 μM), BSA (0.1%) | 37°C | 7.4 | 20% |
| 8   | LBMG | 50 RPM | 24-well plate, 2 cm²/well | HGF (50 ng/mL), Follistatin-188 (200 ng/mL) | 32°C | 6.9 | 15% |
| 9   | LBMG | 0 RPM | 12-well plate, 3.5 cm²/well | Wnt3a (100 ng/mL), BMP4 (50 μM) | 37°C | 7.4 | 20% |
| 10  | Liver Induction Medium with Growth Factors (LIMGF) | 50 RPM | 24-well plate, 2 cm²/well | | 32°C | 6.9 | 15% |
| 11  | LIMGF | 0 RPM | 12-well plate, 3.5 cm²/well | HGF (100 ng/mL), ESGRO (50 μM) | 37°C | 7.4 | 20% |
| 12  | LBMG | 50 RPM | 24-well plate, 2 cm²/well | Insulin-like growth factor-2 (IGF-2) (100 ng/mL) | 32°C | 6.9 | 15% |
| 13  | LBMG | 0 RPM | 12-well plate, 3.5 cm²/well | FGF1 (10 μg/mL), VEGF (5 μM) | 37°C | 7.4 | 20% |
| 14  | Liver Maturation Medium with Growth Factors (LMGF) | 50 RPM | 24-well plate, 2 cm²/well | | 32°C | 6.9 | 15% |
| 15  | LMGF | 0 RPM | 12-well plate, 3.5 cm²/well | HGF (150 ng/mL), ESGRO (75 μM) | 37°C | 7.4 | 20% |
| 16  | LBMG | 50 RPM | 24-well plate, 2 cm²/well | Insulin-like growth factor-3 (IGF-3) (100 ng/mL) | 32°C | 6.9 | 15% |
| 17  | LBMG | 0 RPM | 12-well plate, 3.5 cm²/well | FGF1 (10 μg/mL), VEGF (5 μM) | 37°C | 7.4 | 20% |
| 18  | Liver Maturation Medium with Growth Factors (LMGF) | 50 RPM | 24-well plate, 2 cm²/well | | 32°C | 6.9 | 15% |
| 19  | LMGF | 0 RPM | 12-well plate, 3.5 cm²/well | HGF (200 ng/mL), ESGRO (100 μM) | 37°C | 7.4 | 20% |
| 20  | LBMG | 50 RPM | 24-well plate, 2 cm²/well | Insulin-like growth factor-1 (IGF-1) (150 ng/mL) | 32°C | 6.9 | 15% |
| 21  | LBMG | 0 RPM | 12-well plate, 3.5 cm²/well | FGF1 (10 μg/mL), VEGF (5 μM) | 37°C | 7.4 | 20% |

Note: The input density of H9 hESC is assumed to be 1-2 x 10^6 cells/cm², and the culture medium is refreshed every 24 hours.
Generating protocol 14 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (200 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.4 | 20% |
| 3   | DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | FGF4 (50 ng/mL), IGF1 (10 μg/mL) | 37°C | 7.5 | 18% |
| 4   | DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | BMP4 (100 ng/mL), Heparin (50 μg/mL) | 37°C | 7.5 | 18% |
| 5   | DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | FGF2 (20 ng/mL), VEGF (10 ng/mL) | 37°C | 7.5 | 18% |
| 6   | DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | EGF (20 ng/mL), B27 supplement (1:100) | 37°C | 7.4 | 22% |
| 7   | DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | HGF (25 ng/mL), PDGFA (10 ng/mL) | 37°C | 7.4 | 22% |
| 8   | Matrigel | 0 RPM | 48-well plate, 1.5 cm²/well | TGF-β1 (2 ng/mL), FGF4 (50 ng/mL) | 37°C | 7.3 | 20% |
| 9   | Matrigel | 0 RPM | 48-well plate, 1.5 cm²/well | BMP8b (100 ng/mL), Heparin (50 μg/mL) | 37°C | 7.3 | 20% |
| 10  | Matrigel | 0 RPM | 48-well plate, 1.5 cm²/well | VEGF (10 ng/mL), PDGFA (10 ng/mL) | 37°C | 7.4 | 22% |
| 11  | Matrigel | 50 RPM | 48-well plate, 1.5 cm²/well | EGF (20 ng/mL), B27 supplement (1:100) | 37°C | 7.3 | 25% |
| 12  | Matrigel | 50 RPM | 48-well plate, 1.5 cm²/well | HGF (25 ng/mL), TGF-β1 (2 ng/mL) | 37°C | 7.4 | 25% |
| 13  | DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | FGF2 (20 ng/mL), VEGF (10 ng/mL) | 37°C | 7.5 | 18% |
| 14  | DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | EGF (20 ng/mL), B27 supplement (1:100) | 37°C | 7.4 | 22% |
| 15  | DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | HGF (25 ng/mL), PDGFA (10 ng/mL) | 37°C | 7.4 | 22% |
| 16  | Matrigel | 0 RPM | 48-well plate, 1.5 cm²/well | TGF-β1 (2 ng/mL), FGF4 (50 ng/mL) | 37°C | 7.3 | 20% |
| 17  | Matrigel | 0 RPM | 48-well plate, 1.5 cm²/well | BMP8b (100 ng/mL), Heparin (50 μg/mL) | 37°C | 7.3 | 20% |
| 18  | Matrigel | 50 RPM | 48-well plate, 1.5 cm²/well | VEGF (10 ng/mL), PDGFA (10 ng/mL) | 37°C | 7.4 | 25% |
| 19  | Matrigel | 50 RPM | 48-well plate, 1.5 cm²/well | EGF (20 ng/mL), B27 supplement (1:100) | 37°C | 7.3 | 25% |
| 20  | DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | FGF2 (20 ng/mL), VEGF (10 ng/mL) | 37°C | 7.5 | 18% |
| 21  | DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | HGF (25 ng/mL), TGF-β1 (2 ng/mL) | 37°C | 7.4 | 22% |

Note: The concentrations of growth factors and supplements are in ng/mL or μg/mL as indicated.
Generating protocol 15 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
